,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
308,1.513997608,2.429184675,0.8454152346,-2.382885933,3.506253053,
309,1.518739691,2.243313074,1.304332614,-0.02174854279,2.595035667,
310,1.523481775,2.243147135,2.593421459,4.032183647,5.293018883,
311,1.528223806,-0.3609535694,2.416055202,1.806693077,3.038379518,
312,1.532965889,-2.750649929,2.209743261,1.231145859,3.736945335,
313,1.537707973,-4.370850563,1.942699313,1.485380173,5.008469779,
314,1.542450004,-5.52093029,1.660714507,0.8813877106,5.832279849,
315,1.547192087,-5.814940453,1.590757251,0.04692745209,6.028784561,
316,1.551934171,-5.836769581,1.48629725,-0.6585922241,6.058935746,
317,1.556676202,-6.106925488,1.294797897,-1.086636543,6.336546337,
318,1.561418285,-6.341653824,1.047791839,-0.9113850594,6.491922957,
319,1.566160368,-6.413610458,0.6454901695,-0.2144861221,6.449578356,
320,1.570902452,-6.100913048,0.283856988,0.198433876,6.110735701,
321,1.575644483,-5.742233276,0.2174265385,0.5106649399,5.768994365,
322,1.580386566,-5.066993713,0.9753324986,-0.3373126984,5.171022977,
323,1.58512865,-3.774053574,2.2742064,-4.564315796,6.344168489,
324,1.589870681,-5.355596542,2.101550341,-1.535094261,5.954447292,
325,1.594612764,-6.334004402,2.228870392,-1.432310104,6.865783803,
326,1.599354796,-6.043968201,2.39982152,-2.9609828,7.14535612,
327,1.604096879,-5.386826515,2.290293455,-4.253930092,7.235970235,
328,1.608838962,-5.035031319,2.392986536,-5.152093887,7.590915384,
329,1.613580993,-4.164235115,2.958731174,-4.965372086,7.123893893,
330,1.618323077,-3.370035648,3.718659639,-4.471081734,6.721319934,
331,1.62306516,-2.686215401,4.426435471,-4.076358795,6.589824366,
332,1.627807191,-1.950730085,5.044074059,-3.731279612,6.570424531,
333,1.632549275,-0.9876520634,5.524009705,-3.254844189,6.487229802,
334,1.637291358,-0.04358720779,5.825641155,-2.676865578,6.411365224,
335,1.642033389,0.6546702385,5.936844826,-1.883860111,6.262878613,
336,1.646775473,1.129072189,5.800143242,-0.9895129204,5.991293805,
337,1.651517556,1.246422291,5.380039692,0.181198597,5.525507085,
338,1.656259587,0.7631368637,4.624752045,1.712277412,4.990250824,
339,1.661001671,-0.4120187759,3.601934433,3.571157455,5.088895431,
340,1.665743754,-2.060265064,2.583664417,5.86225462,6.729490559,
341,1.670485785,-3.848798513,1.689713955,8.781242371,9.735430181,
342,1.675227868,-5.299805641,1.050425053,12.21839809,13.35966259,
343,1.6799699,-5.827828407,0.8552594185,15.35450172,16.44553969,
344,1.684711983,-5.385164261,1.150812149,17.27114487,18.12779103,
345,1.689454014,-4.282228947,1.703670025,17.62170982,18.2144073,
346,1.694196098,-3.015660524,2.340363503,16.5657444,16.99986462,
347,1.698938181,-1.79377079,2.88937521,14.65886497,15.04820338,
348,1.703680212,-0.8524975777,3.190201759,12.44608498,12.87669098,
349,1.708422296,-0.2920622826,3.105000973,10.31068802,10.77202947,
350,1.713164379,-0.0763297081,2.847019196,8.412449837,8.881478299,
351,1.71790641,0.1562428474,2.584947109,6.895989895,7.366209338,
352,1.722648493,0.5660128593,2.447296619,5.901665688,6.413991674,
353,1.727390577,1.212620735,2.491492748,5.931445122,6.546756937,
354,1.732132608,1.583985329,2.520207882,7.708275795,8.263048652,
355,1.736874691,1.604203701,2.324269295,9.177301407,9.602008039,
356,1.741616723,1.664431572,1.878637314,10.99845409,11.28120575,
357,1.746358806,1.748920918,1.458810329,12.74193764,12.94387217,
358,1.751100889,2.175644398,1.138312817,13.45577812,13.67798046,
359,1.755842921,3.597136497,1.892477512,14.12405205,14.69726874,
360,1.760585004,3.785644531,1.149057388,13.92149162,14.47271109,
361,1.765327035,3.047326088,-0.3004932404,13.61519623,13.95528792,
362,1.770069118,2.218284607,-1.741093159,12.95236492,13.25578927,
363,1.77481115,1.711307526,-2.785444975,12.2465477,12.67537801,
364,1.779553233,1.432449341,-3.637318134,11.51183987,12.15748541,
365,1.784295316,1.182481289,-4.432841301,10.85327625,11.78312138,
366,1.789037348,0.9837274551,-5.107193947,10.08296585,11.3453669,
367,1.793779431,0.9707984924,-5.693935394,9.340873718,10.98249843,
368,1.798521462,1.072915077,-6.14116478,8.621339798,10.63919882,
369,1.803263546,1.218105793,-6.493009567,8.0160923,10.38752573,
370,1.808005577,1.417468548,-6.943979263,7.665277958,10.43956662,
371,1.81274766,1.75827837,-7.179893017,7.664232254,10.64813893,
372,1.817489743,2.311917305,-6.859596729,7.926722527,10.73461499,
373,1.822231775,2.968658447,-6.058691502,7.989277363,10.45701814,
374,1.826973858,3.530922413,-5.060292244,7.646992207,9.826009388,
375,1.831715889,3.881869316,-3.993064165,6.831342697,8.813666312,
376,1.836457973,4.03110981,-3.036853313,5.568676472,7.515482818,
377,1.841200004,3.942410946,-2.265245676,4.104494572,6.125423882,
378,1.845942087,3.78690815,-1.55557394,2.583431244,4.840929726,
379,1.850684118,3.417794228,-1.193329811,1.163465023,3.802499741,
380,1.855426202,2.927182674,-1.338430405,-0.08669757843,3.219830869,
381,1.860168233,2.539477825,-1.594038963,-1.412912846,3.314548318,
382,1.864910316,2.159963131,-1.750963688,-2.770632505,3.925266748,
383,1.8696524,1.815947533,-1.861196518,-3.862193823,4.655991736,
384,1.874394431,1.732094288,-1.874242306,-4.617650032,5.27594794,
385,1.879136514,2.948583603,-0.4647498131,-4.609133244,5.491288274,
386,1.883878546,3.223066807,-0.2240753174,-5.037231445,5.984318677,
387,1.888620629,2.748744011,-0.6965136528,-5.117352486,5.850471893,
