"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.173287540E-1,-2.425678730E0,-5.848951340E-1,-2.119996071E0,3.274202645E0
7.220708370E-1,-2.565623045E0,-8.375043869E-1,-1.462172031E0,3.069492182E0
7.268129210E-1,-2.634200335E0,-6.566257477E-1,-6.702628136E-1,2.796322766E0
7.315550560E-1,-3.183508158E0,3.576846123E-1,1.142641068E0,3.401219058E0
7.362971390E-1,-3.066653728E0,6.490731239E-1,3.824090958E-1,3.157831175E0
7.410392230E-1,-3.027170658E0,6.470813751E-1,4.695701599E-2,3.095913671E0
7.457813060E-1,-2.657369852E0,8.615913391E-1,1.629538536E-1,2.798304509E0
7.505233890E-1,-2.489022017E0,1.352796555E0,3.329319954E-1,2.852390722E0
7.552654730E-1,-2.632086515E0,2.062402248E0,1.062917709E-1,3.345546353E0
7.600075560E-1,-2.918219090E0,2.252495289E0,-3.467583656E-1,3.702698887E0
7.647496390E-1,-2.993019819E0,1.635355473E0,-9.360542297E-1,3.536771505E0
7.694917230E-1,-2.650429726E0,6.297678947E-1,-1.479547501E0,3.100071957E0
7.742338060E-1,-1.985096931E0,-1.578221321E-1,-1.817665100E0,2.696186950E0
7.789758890E-1,-1.535535336E0,-3.893985748E-1,-2.036335468E0,2.579953906E0
7.837179730E-1,-4.603375793E-1,-8.912410736E-1,-1.625162125E0,1.909809747E0
7.884600560E-1,4.054140747E-1,-1.443051338E0,-8.492684364E-1,1.722792679E0
7.932021390E-1,9.225679040E-1,-1.661678314E0,-4.027318954E-1,1.942807077E0
7.979442230E-1,1.286809206E0,-1.609097481E0,-2.210574150E-1,2.072182187E0
8.026863060E-1,1.479830742E0,-1.249464035E0,-1.568622589E-1,1.943107091E0
8.074283890E-1,1.759369612E0,-6.063475609E-1,-1.496119499E-1,1.866928636E0
8.121704730E-1,1.417697906E0,1.208786964E-1,-8.078298569E-1,1.636174835E0
8.169125560E-1,2.071264505E0,4.119381905E-1,-3.297939301E-1,2.137426902E0
8.216546390E-1,2.577587843E0,4.678010941E-1,7.274131775E-1,2.718809828E0
8.263967230E-1,2.627705097E0,1.005363464E-1,1.531516552E0,3.043104432E0
8.311388060E-1,2.064373970E0,-4.451804161E-1,1.923067570E0,2.856223795E0
8.358808890E-1,1.211918354E0,-9.990358353E-1,2.068595886E0,2.597288516E0
8.406229730E-1,2.739437222E-1,-1.550774097E0,2.121288776E0,2.641933295E0
8.453650560E-1,-9.441066384E-1,-2.387475491E0,2.373589039E0,3.496469861E0
