,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),labels
77,0.414983093,8.100379944,4.409564495,11.81391048,14.98762474,
78,0.419725332,5.144476891,4.173140526,7.048135757,9.672484788,
79,0.424467572,1.277936459,2.577646494,1.986866951,3.496430082,
80,0.429209812,-1.629025102,0.8456254005,-1.628828049,2.453953119,
81,0.433952051,-3.003300667,-0.6043348312,-3.553359509,4.69163077,
82,0.438694291,-2.853004456,-1.03418982,-5.189777374,6.011902544,
83,0.44343653,-2.335309982,-0.9749844074,-5.212393761,5.79424853,
84,0.44817877,-0.8620541096,-0.6884508133,-4.60752821,4.737765086,
85,0.452920957,0.3776195049,-0.55483675,-2.694570065,2.776895414,
86,0.457663197,1.320469379,-0.1791937351,-0.6956014633,1.50320031,
87,0.462405437,1.77874279,0.1546413898,0.5120239258,1.857419816,
88,0.467147676,0.9161145687,0.2159674168,1.094408035,1.443480785,
89,0.471889916,-0.62413311,-0.02002501488,1.302836418,1.444758067,
90,0.476632155,-1.956487656,-0.4879851341,1.418552399,2.465413626,
91,0.481374395,-2.541239738,-1.021241903,1.425971985,3.087754934,
92,0.486116635,-2.400281429,-1.463779807,1.394763947,3.138370394,
93,0.490858874,-1.971643686,-1.764953136,1.263438225,2.932356484,
94,0.495601114,-1.679093361,-1.689175487,1.075157166,2.613164991,
95,0.500343353,-1.552927971,-1.313332796,0.8442564011,2.202089278,
96,0.505085593,-1.378167868,-0.8056963682,0.7201681137,1.751323905,
97,0.50982778,-0.8063235283,-0.209253788,0.6660881042,1.066591835,
98,0.51457002,0.06464004517,0.3629448414,0.4962072372,0.6181657671,
99,0.51931226,0.7371977568,0.815735817,0.1947755814,1.11661228,
100,0.524054499,2.008676052,1.242455721,-0.09972286224,2.363984,
101,0.528796739,2.328760862,1.405340433,-0.3045597076,2.736944556,
102,0.533538978,2.390719891,1.348229647,-0.3945512772,2.772892981,
103,0.538281218,2.450150013,1.131025553,-0.5579767227,2.755683565,
104,0.543023457,2.487133026,0.8931763172,-0.6872692108,2.730555546,
