"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.877546380E-1,-6.667810917E0,1.047275543E0,2.947813034E0,7.365194510E0
4.924959930E-1,-6.737947941E0,-4.320068359E-1,2.916539192E0,7.354778937E0
4.972373470E-1,-6.706987381E0,-1.937891006E0,2.589893341E0,7.446250654E0
5.019786490E-1,-6.643160820E0,-3.474372387E0,1.967245102E0,7.750671097E0
5.067200030E-1,-6.500569820E0,-4.962403297E0,1.142544746E0,8.257618481E0
5.114613570E-1,-6.282755852E0,-6.309990883E0,2.540893555E-1,8.908061935E0
5.162027110E-1,-5.910555840E0,-7.411834717E0,-6.109514236E-1,9.499643459E0
5.209440130E-1,-5.418035984E0,-8.301394463E0,-1.477423668E0,1.002252686E1
5.256853680E-1,-4.638196468E0,-8.789405823E0,-2.279520035E0,1.019621169E1
5.304267220E-1,-3.790083408E0,-8.998470306E0,-3.101718903E0,1.024489435E1
5.351680760E-1,-3.172071695E0,-9.034788132E0,-4.158761978E0,1.043957550E1
5.399094300E-1,-2.678080559E0,-8.947564125E0,-5.429719925E0,1.080337344E1
5.446507320E-1,-2.287834167E0,-8.817684174E0,-6.792791843E0,1.136343964E1
5.493920860E-1,-1.998537540E0,-8.689454079E0,-8.156105042E0,1.208398998E1
5.541334400E-1,-1.770073771E0,-8.647010803E0,-9.388484955E0,1.288594609E1
5.588747950E-1,-1.694595695E0,-8.628928185E0,-1.046908379E1,1.367229942E1
5.636161490E-1,-1.601417780E0,-8.547886848E0,-1.157421684E1,1.447734105E1
5.683574510E-1,-1.446373820E0,-8.466751099E0,-1.261265469E1,1.525965038E1
5.730988050E-1,-1.270599365E0,-8.424058914E0,-1.349126625E1,1.595598497E1
5.778401590E-1,-1.039348364E0,-8.554878235E0,-1.450692558E1,1.687356146E1
5.825815130E-1,-7.384848595E-1,-8.641247749E0,-1.559584045E1,1.784507669E1
5.873228680E-1,-4.142308235E-1,-8.681744576E0,-1.704688644E1,1.913480111E1
5.920641700E-1,-7.677191496E-2,-8.707530975E0,-1.872212982E1,2.064812666E1
5.968055240E-1,9.870809317E-2,-8.882488251E0,-2.053495979E1,2.237393382E1
6.015468780E-1,2.585369349E-2,-9.180146217E0,-2.206698799E1,2.390037054E1
6.062882320E-1,-4.094082117E-1,-9.561704636E0,-2.288586617E1,2.480638387E1
6.110295860E-1,-1.016623259E0,-9.892653465E0,-2.321725082E1,2.525745140E1
6.157708880E-1,-1.691119432E0,-1.011634922E1,-2.325121689E1,2.541297884E1
6.205122430E-1,-2.317902088E0,-1.025773430E1,-2.305489731E1,2.534012772E1
6.252535970E-1,-2.804232836E0,-1.032054901E1,-2.271822739E1,2.510966565E1
6.299949510E-1,-3.126953363E0,-1.043957520E1,-2.212556839E1,2.466380636E1
6.347363050E-1,-3.294920444E0,-1.049921799E1,-2.143495560E1,2.409455126E1
